SPECTRUM - MS,
QC_2.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-40,
RT: 0.01-1.97,
AV: 40,
m/z,Intensity

53.4389,257.5
53.4412,322
53.4477,158.1
53.4656,479.4
53.4679,75.5
53.4696,77
53.4704,110.6
53.4739,78.5
53.4857,136.1
53.495,496.7
53.5012,110.7
53.5026,819.6
53.5118,434.2
53.5291,842.8
53.566,65.9
53.5726,89.9
53.576,762.7
53.5852,468.5
53.5873,247.5
53.5896,80.3
53.6014,484.1
53.6031,242.2
53.6118,113.8
53.6432,106.1
53.6517,454.1
53.6614,90.5
53.6722,179.8
53.6797,484.4
53.6915,752.2
53.6967,121.8
53.7009,84.5
53.7168,80.1
53.7189,109.4
53.7245,329.4
53.7325,126.7
53.7344,309.2
53.7358,90
53.7381,203.8
53.7504,172.1
53.7567,170.3
53.7798,147.1
53.7833,27.2
53.787,80.1
53.8114,93.6
53.8138,212.5
53.8239,225.9
53.8283,480.7
53.8411,789.6
53.8449,110.4
53.8553,85
53.8606,398.9
53.8655,267.7
53.8708,88.9
53.9067,98.1
53.9112,471.2
53.9307,20.6
53.9335,903.8
53.9746,484.3
53.9815,67.3
53.9851,77.4
53.997,445.8
54.0307,165.7
54.0469,139.5
54.0518,188.1
54.0788,147.1
54.081,27.9
54.1197,145.1
54.124,694.9
54.1342,138.1
54.167,549.2
54.1713,340
54.1768,197.5
54.1773,139.1
54.179,371.2
54.1822,153.8
54.2099,128.2
54.212,157.9
54.218,195.5
54.2199,16.4
54.2232,18.4
54.2271,495.8
54.2386,16
54.2522,92.6
54.2535,107.4
54.2773,17
54.2903,451.8
54.2986,128.4
54.3,191.4
54.3004,296.3
54.3159,317
54.3166,16.4
54.3173,108.4
54.3214,16.3
54.3295,431.7
54.3584,66.8
54.3595,706.5
54.3721,695.2
54.375,364.8
54.3846,149.4
54.4049,128.9
54.4183,73.4
54.4195,395.4
54.4261,16
54.4349,108.1
54.439,110.4
54.4427,759.1
54.4487,276.6
54.4721,297.9
54.4873,146
54.4954,528.3
54.5134,154.4
54.5183,671
54.5735,83.6
54.5753,367.2
54.5863,191.3
54.5954,363.8
54.6188,116.5
54.6216,139.5
54.6362,595.8
54.6695,454.6
54.67,456.7
54.7018,114.1
54.7045,82.7
54.7068,64.4
54.7079,273.4
54.712,84.6
54.7248,305.6
54.7257,683
54.7496,156.6
54.7501,326.9
54.7706,207.7
54.7746,172.9
54.7822,184.1
54.8122,89.9
54.8267,62.9
54.8489,515.9
54.8736,211
54.8832,26.1
54.884,388.3
54.888,135.6
54.9046,18
54.9075,322.8
54.929,87.3
54.9372,113
54.9415,17.9
54.942,100.7
54.9765,66.8
54.9801,80.8
54.9831,428.6
54.9963,558.8
54.9987,523.4
55.0002,136.5
55.0229,66.5
55.0442,18.1
55.0484,334.6
55.0632,322.3
55.0763,89.7
55.0801,27.4
55.0839,15.4
55.0873,197.1
55.0928,799.3
55.102,814.7
55.1105,93.6
55.1202,166.5
55.1878,529.8
55.2019,612.3
55.215,590.2
55.2789,15.8
55.2934,906.5
55.3066,81.6
55.3341,111.3
55.3682,76
55.372,808.1
55.405,74.7
55.4142,16.8
55.4182,133.9
55.4281,103.6
55.4541,509.3
55.455,89.8
55.457,96.5
55.4712,497.6
55.481,80.5
55.4924,104.7
55.5068,305.1
55.5379,462.9
55.5574,15.9
55.5687,970.9
55.5787,573.6
55.5828,233.6
55.5945,19
55.5975,83.7
55.6083,348.1
55.6322,130.8
55.6403,79
55.6447,308.8
55.6511,381.8
55.6526,207.7
55.6537,132.4
55.6578,15.2
55.6992,326.8
55.7085,447.9
55.7179,18.4
55.7356,68.4
55.7377,15.4
55.7429,287.2
55.7496,187.5
55.7536,147.9
55.7578,266.5
55.7687,286.1
55.7711,120.1
55.7716,170.8
55.7866,400.6
55.7936,274.2
55.8081,119.5
55.8286,258.1
55.835,588.1
55.8546,202.5
55.8884,578.4
55.8968,448.5
55.8993,160.1
55.9027,470.7
55.9105,104.8
55.9393,631.8
55.9456,85
55.9465,99.8
55.9749,314.9
55.9992,77.2
56.0115,101.2
56.0273,164.9
56.033,88.3
56.0379,97
56.0388,15.6
56.0446,175.2
56.0521,178
56.0641,613.3
56.0646,18
56.0873,258.1
56.0932,106.5
56.0987,392.2
56.1056,96.1
56.1131,502.7
56.1258,156.3
56.1371,203.2
56.146,101
56.1576,533.3
56.1696,261.3
56.1836,255.6
56.1841,31.6
56.1857,336.1
56.191,117.9
56.2136,17.1
56.2271,99.3
56.2279,26.5
56.2422,257.4
56.245,102.9
56.2472,289
56.2569,499.6
56.2636,287.5
56.2688,449.2
56.2712,322.6
56.2781,775.7
56.2903,130.1
56.2922,467.3
56.2943,70.2
56.3167,111.2
56.3254,72.8
56.339,17.4
56.3672,115
56.3742,299.2
56.3774,113.4
56.4002,509.6
56.4182,17.1
56.4232,367.4
56.4374,216.8
56.4413,70.6
56.4978,167.8
56.5054,784.9
56.5262,531.2
56.5313,443.6
56.5329,115.9
56.5363,98.1
56.5434,86.4
56.5444,435.8
56.5478,240.3
56.5647,1088.7
56.5737,140.7
56.5901,149.4
56.5922,494.7
56.599,19.9
56.6027,179.7
56.6085,17.1
56.6092,430.7
56.6141,175
56.6179,236.1
56.6356,74.9
56.6375,283.3
56.69,456.5
56.6987,16.6
56.7122,461.1
56.7146,92.2
56.7293,78.3
56.7508,159.2
56.7574,216.7
56.7799,19.5
56.7832,485.7
56.7867,16.9
56.7916,419.3
56.7943,163.7
56.7981,94.9
56.8155,116.8
56.8192,75.2
56.826,193.6
56.8419,233.6
56.8546,513
56.8591,155.1
56.8661,595.7
56.9324,183.5
56.9417,17.3
56.9476,96.9
56.9885,83.2
56.9913,164.2
56.9973,16.7
57.0003,125
57.0069,411.4
57.0168,491
57.0261,69.1
57.0314,181.4
57.0363,330.1
57.0467,442
57.0602,17.1
57.1015,158.2
57.1048,78.1
57.1285,77.3
57.1443,191.1
57.1475,775.5
57.1676,459.6
57.1939,156.1
57.2175,91.5
57.2237,79.2
57.2274,449.2
57.2292,687.8
57.2407,105.8
57.2431,96.8
57.2462,523
57.2656,455.6
57.2813,170.4
57.2841,127.9
57.2878,94.8
57.3004,16.6
57.3021,163.7
57.3048,95.6
57.3153,832.9
57.3259,71.1
57.3618,90.5
57.3705,142.1
57.3742,113.7
57.3859,179.4
57.3948,400.3
57.3974,16.5
57.4221,123.5
57.4358,156.7
57.4361,108.5
57.4562,186.3
57.4634,88.5
57.4685,163.8
57.4937,111.7
57.4951,74.2
57.5002,68.9
57.5129,198.7
57.5526,21.4
57.5859,259.6
57.5897,103.2
57.5967,271.8
57.613,161.1
57.6142,108.4
57.6189,86.8
57.6353,190.9
57.6464,406.2
57.6469,16.9
57.6728,85.9
57.7083,617.8
57.7466,136.4
57.7983,660.1
57.8035,322.5
57.8321,347.8
57.8333,197.3
57.8355,145.9
57.8477,115.3
57.8582,81.4
57.8732,919.9
57.894,178.8
57.8955,540.9
57.8992,17.1
57.9078,462.5
57.9147,15.2
57.9217,188.5
57.9339,15.2
57.9545,121.1
57.9633,371.7
58.0121,28.7
58.015,383.2
58.0162,536
58.0167,123.1
58.0174,384.4
58.0294,139.3
58.0427,219.1
58.0431,110.8
58.0563,159.2
58.0577,78.2
58.0875,383.8
58.1001,569.6
58.165,145.5
58.1672,509.6
58.1677,88.7
58.1869,18.3
58.1891,419.6
58.1908,111.8
58.194,85.2
58.1946,604.4
58.195,1103.8
58.2054,78.7
58.2117,81.7
58.2158,78.7
58.2242,18.1
58.2275,292.8
58.2387,157
58.2497,250.3
58.2519,427.3
58.2951,96.2
58.2992,152.9
