SPECTRUM - MS,
lav_QC_1.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-42,
RT: 0.01-1.96,
AV: 42,
m/z,Intensity

53.7611,55
53.7615,33
53.7656,83.2
53.7713,31.2
53.794,30.6
53.7968,44.7
53.8136,29.7
53.8268,35.8
53.8271,23.4
53.8284,35.4
53.8366,76.9
53.8836,30.5
53.8999,34.5
53.9,34.7
53.9002,35
53.9185,34.8
53.9273,55.8
53.9374,24.8
53.9454,36.1
53.9467,55.3
53.9646,30.9
53.9883,43.7
54.0191,21.1
54.0322,67.9
54.0345,31.6
54.0608,57
54.0639,78.6
54.0759,25.6
54.0835,36.3
54.0936,30.2
54.0995,58.9
54.1004,59.7
54.1084,34.4
54.1218,25.1
54.1354,47.9
54.1833,34.9
54.2065,51.6
54.2087,43.6
54.2222,84.9
54.225,35.8
54.2349,30.9
54.2354,34.1
54.2477,30.1
54.2766,82.2
54.2782,39.3
54.2835,26.7
54.2999,38.5
54.3002,37.9
54.3024,34
54.3051,25.6
54.3089,34.5
54.3109,50.5
54.3112,24.8
54.3173,52.9
54.3364,21.5
54.364,26.9
54.3654,66.4
54.3688,34.9
54.3756,37.3
54.3822,79.4
54.3849,34
54.386,33.6
54.3869,55.5
54.4048,49.6
54.442,29.2
54.4455,38.2
54.452,153.6
54.4637,26.7
54.4978,33.6
54.5101,46.2
54.5141,77.6
54.5175,39.3
54.5198,60.5
54.5311,31.8
54.5399,40.4
54.5454,92.7
54.577,33.2
54.5799,102.8
54.5977,46.8
54.5997,69.8
54.6244,23.4
54.6282,33.5
54.6511,25.2
54.6519,30.2
54.6563,36.4
54.6916,74.6
54.7031,33.2
54.718,73.7
54.723,26.7
54.7235,95.2
54.7285,35
54.7357,81.8
54.7492,25.7
54.7554,81.1
54.7752,56.7
54.7832,88.1
54.786,27.6
54.791,77.8
54.8074,26.3
54.8232,28.5
54.8438,27.2
54.8445,37.8
54.8472,30.4
54.8621,94.2
54.8867,90.5
54.9029,63.5
54.9078,31.9
54.9099,94.8
54.9101,133
54.9417,33.9
54.9563,49.1
54.982,34.9
54.9847,46.5
54.9903,90.9
55.003,62
55.0468,29.8
55.0566,95
55.0642,87.8
55.0756,31.3
55.0777,30.1
55.0833,93.9
55.0861,52.4
55.0882,41.2
55.0998,22.7
55.1148,81.1
55.1183,36.3
55.1615,38.1
55.1943,32.9
55.2272,70.7
55.2426,22
55.2506,39.1
55.2542,35.4
55.2625,32.6
55.2758,36
55.2781,28.4
55.2799,42.9
55.2813,65.2
55.308,23
55.329,35.9
55.3439,32.3
55.3446,91
55.3565,37.3
55.3611,30.9
55.3646,21.9
55.3706,28.2
55.3787,28.6
55.3841,28
55.3853,38
55.3893,26.8
55.405,20.8
55.4109,38.6
55.4358,92
55.4394,55
55.4553,79.9
55.5091,36.3
55.515,39.1
55.5321,57.8
55.5406,22.4
55.5533,33
55.5634,24.7
55.5766,87.2
55.5778,50.5
55.6044,40.1
55.6493,40.6
55.6629,29.2
55.6731,40.2
55.6772,32.3
55.7046,76.4
55.7181,80
55.7442,30.9
55.7499,64.5
55.7521,30.2
55.7532,97.2
55.7616,42.5
55.765,28.4
55.768,79.1
55.7851,86.3
55.7925,35.2
55.7971,29.3
55.7988,40.6
55.8193,31.8
55.8233,33.7
55.8501,24.5
55.8653,29.4
55.8699,35.4
55.8795,39.3
55.8957,38
55.912,94
55.9523,42
55.9589,46.3
55.959,46.5
55.9599,25.3
55.9608,25.5
55.976,29.2
55.9787,116.7
56.0219,25
56.0221,30.1
56.0222,29
56.0284,26.6
56.0339,45.9
56.0377,37.3
56.0501,36
56.0547,41.3
56.0768,73.8
56.0866,56.7
56.1108,47.4
56.127,28.5
56.1281,44.2
56.1608,40.3
56.1662,89.3
56.1705,81.1
56.1812,31.5
56.1836,29
56.1966,24.7
56.214,31.8
56.2164,39.1
56.2237,35.2
56.2251,94.4
56.2473,22.7
56.2503,35.6
56.251,38.6
56.255,39.1
56.2682,26.2
56.2702,44.2
56.2848,22.3
56.2881,22.5
56.2898,35.2
56.3037,21.2
56.3045,29.4
56.3142,38.7
56.3189,101.3
56.3204,27.5
56.3302,37.6
56.336,59.7
56.3373,41.4
56.3423,51
56.3459,26.6
56.3768,33.3
56.3909,30.2
56.3931,45
56.4233,47.8
