SPECTRUM - MS,
lav_1081.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-43,
RT: 0.01-1.98,
AV: 43,
m/z,Intensity

53.5232,54.2
53.5275,47
53.5319,52
53.546,33.4
53.5495,46.8
53.5499,66.9
53.5567,65.5
53.5644,37
53.5695,31
53.5709,42.2
53.5741,42.6
53.5766,32
53.5868,41.8
53.6109,41.7
53.6214,43.5
53.6238,53.3
53.6286,45.8
53.6328,58.2
53.6421,26.7
53.6565,36
53.6572,52.8
53.6586,45.4
53.6641,33.1
53.6646,39.1
53.6681,38.1
53.6779,51.3
53.6787,34.4
53.6817,32.1
53.7248,34.5
53.7337,55.6
53.7364,35.7
53.7634,35
53.7894,37.7
53.79,43.4
53.7903,55.6
53.7998,40.9
53.8163,37.4
53.8194,41.1
53.8422,49.6
53.8568,40.9
53.8649,48.6
53.8705,47.6
53.875,53.7
53.8766,36.4
53.8813,44.9
53.8893,54.3
53.9013,50.3
53.9167,36.6
53.9207,41.8
53.924,50.1
53.9416,41.7
53.965,36.8
53.9697,32.3
53.9821,49.3
53.9926,43.8
53.9943,40.2
53.9954,34.2
53.9983,38.2
54.0274,50.9
54.0335,33.9
54.0475,36.1
54.0503,33
54.0546,48.6
54.055,43.5
54.0577,35.6
54.0714,39.5
54.0749,44
54.0777,42.7
54.0915,43.2
54.0951,49.7
54.112,41
54.132,44
54.1468,55.6
54.1727,82
54.1927,38.8
54.1943,70
54.2008,32.4
54.2446,51
54.2509,30.7
54.2583,46.9
54.2619,45.8
54.2784,71.8
54.2812,47.9
54.2969,33.8
54.3106,43.6
54.3184,39.7
54.325,47.2
54.3315,53.5
54.3472,54.7
54.3622,67.1
54.3644,18.8
54.3683,60.3
54.371,45.9
54.378,53.2
54.3831,47.6
54.3927,43.9
54.3957,38.1
54.4027,45.8
54.4063,33.9
54.4177,82.4
54.4565,44.8
54.4633,45
54.4676,38.7
54.4695,49.2
54.4833,34.9
54.485,48.3
54.5165,44.4
54.5271,39.3
54.5645,39.7
54.5663,46.2
54.5802,59
54.5858,38.9
54.5863,17.4
54.6288,47.3
54.6318,32.3
54.6546,42.5
54.6622,42.3
54.6755,38.1
54.7225,52.2
54.7258,50.2
54.7425,39.9
54.7526,45.1
54.7686,50.8
54.7841,44.8
54.7893,39.2
54.8417,34.8
54.8919,46.9
54.9093,45.5
54.911,46.5
54.9178,40.3
54.919,38.5
54.9384,54.1
54.9535,47
54.9541,51
54.9706,40
54.9926,54
55.0111,39.2
55.0118,17.8
55.0163,64
55.021,40.1
55.0216,41.3
55.0272,43.4
55.0324,56.6
55.0589,18.8
55.078,46.9
55.0974,53.1
55.1138,54.4
55.1157,33.3
55.1202,38.1
55.1227,34.9
55.1249,43.5
55.1306,41.1
55.1411,51.1
55.1466,21.1
55.1744,42.1
55.1928,36.5
55.206,45.1
55.2127,45.1
55.2203,35.9
55.2377,48.3
55.2442,60.6
55.2658,33.5
55.2731,34.7
55.2742,45.8
55.28,46.7
55.2908,52.9
55.2966,41.4
55.3051,46.2
55.3144,50.4
55.3616,40.2
55.3677,16.4
55.3708,63.2
55.3711,57.6
55.3756,57.3
55.3791,54.6
55.3796,34.6
55.3904,51.4
55.3922,56.5
55.3989,17.1
55.4087,55.6
55.4137,18
55.4277,57.1
55.4398,36.1
55.441,42.2
55.4495,50.6
55.4503,36.9
55.456,49.9
55.4629,19.3
55.4694,17
55.4796,24
55.4857,43.5
55.4987,72.1
55.5072,36.1
55.5133,22
55.5189,30.7
55.547,52.8
55.5486,34.6
55.5523,42.5
55.5564,42.9
55.582,48.6
55.5844,37.5
55.5986,37.7
55.5989,29.8
55.6185,67.2
55.6189,37.5
55.6445,61.7
55.6473,46
55.6543,54.9
55.6633,56
55.6641,39.5
55.6874,32.9
55.6888,25.1
55.6907,41.4
55.7005,38.1
55.7044,43.1
55.7132,32.5
55.7238,59.3
55.7358,35.6
55.7488,35.2
55.7551,36.5
55.7588,50.5
55.7638,43.8
55.7706,35.5
55.7833,45.5
55.8179,47.5
55.8232,34
55.8297,38.3
55.8324,61.1
55.8508,45.1
55.8514,33.5
55.8981,32.8
55.9153,41.4
55.9252,42.7
55.928,39.9
55.9302,48.2
55.9442,52.7
55.956,18
55.9588,37.3
55.9639,67.1
55.9777,32.5
55.9807,36.1
55.9961,42.7
56.0028,40
56.0085,45.1
56.0176,17.7
56.0243,44.5
56.0309,53.7
56.0416,45.4
56.0455,53
56.0504,43
56.051,57
56.0618,42.2
56.07,17.3
56.1047,29.8
56.1075,58.5
56.1303,29.5
56.1415,65
56.1448,19.6
56.154,33.6
56.1661,37.9
56.176,45.9
56.1888,43.9
56.1902,38.4
56.1962,51.7
56.2036,41.3
56.2218,63.2
56.2251,47.1
56.2331,17.5
56.2393,50.1
56.2439,32.3
56.2511,34.7
56.2607,43.2
56.2712,39.8
56.2741,32.2
56.2905,64.2
56.2922,57.6
56.2953,35.1
56.3133,59.8
56.3264,37.2
56.3802,38.2
56.3954,39.3
56.3969,38.6
56.4311,30.9
56.4321,38.1
56.44,43.6
56.4628,38.9
56.4729,34.9
56.4935,51.7
56.5173,42
56.519,36.5
56.5494,49.3
56.5568,92.7
56.5645,42.4
56.5779,61.3
56.5801,45.2
56.6059,45.7
56.6418,38.3
56.6496,38
56.6742,46.3
56.6782,55.7
56.697,38.2
56.7188,51.5
56.7255,41.9
56.7267,42.5
56.7324,40.3
56.7354,60.7
56.7361,43.8
56.7382,22
56.7413,56.7
56.742,60.9
56.7462,42.4
56.7476,44.3
56.7832,41.2
56.7922,40.8
56.7962,34.5
56.7966,22.7
56.7983,42.5
56.8256,52.7
56.8297,19.6
56.8381,38.7
56.8493,59.7
56.8636,46.8
56.8717,57.8
56.894,37.1
56.9021,81.8
56.9093,50.4
56.9148,38.7
56.9271,42
56.9318,45.4
56.9409,46.5
56.9552,48
56.9571,69.6
56.9739,66.2
56.9927,40.7
56.9944,38.4
56.9962,130.6
57.0013,40.6
57.0067,45.6
57.0135,42.2
57.0253,45
57.0337,156.9
57.0343,2845
57.035,96637.8
57.0357,2862.2
57.0363,44.9
57.0374,39.3
57.0401,51.3
57.0413,48.8
57.0531,48.7
57.0559,43.5
57.0609,85.2
57.0705,43.3
57.093,89.2
57.1123,16.3
57.1303,21.8
57.1308,46.1
57.1388,53
57.1397,57.7
57.1453,54.7
57.1494,39.3
57.1508,36.4
