SPECTRUM - MS,
QC_4.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-45,
RT: 0.01-2.00,
AV: 45,
m/z,Intensity

53.192,59.9
53.205,79.6
53.208,52.9
53.2263,162.2
53.2298,69.6
53.2476,73.2
53.2491,75.8
53.2535,72.5
53.2635,109
53.3072,65.9
53.3259,59.6
53.3319,76.5
53.338,62.5
53.3554,77.8
53.376,58.6
53.3946,43.2
53.4028,421.2
53.4033,47.9
53.4063,108.6
53.411,115.8
53.4209,85.7
53.4291,59.1
53.4385,31.3
53.441,85.1
53.4552,103.4
53.4609,50.2
53.4613,28.5
53.4685,49.9
53.4711,97.2
53.4741,49.6
53.4823,49
53.495,466.9
53.4963,68.7
53.4993,66.6
53.5013,87.1
53.5058,182.1
53.5153,425
53.5319,64.8
53.5366,261.3
53.5513,62.5
53.5746,363.1
53.5773,49
53.58,58.2
53.5851,107.3
53.5869,324.2
53.5996,53.5
53.6024,163.4
53.6037,44.1
53.6078,147.8
53.6128,173.2
53.6218,252.1
53.6243,73.4
53.6911,245.2
53.7084,31.4
53.7142,317.7
53.724,333.6
53.7297,252.4
53.7404,106.2
53.7428,103
53.7463,128
53.7556,322.6
53.7835,102.1
53.7903,234
53.8001,80.9
53.8658,68
53.8705,61.1
53.8711,58.1
53.8781,71
53.8793,482.1
53.9,67.6
53.9116,68.7
53.9182,63.1
53.9236,113.3
53.9256,60.1
53.9645,47.5
53.9695,198.4
53.9757,134
53.9822,134.5
53.9866,59.7
53.9974,357.7
54.0038,80.1
54.0129,104.3
54.0239,87.3
54.0482,88.4
54.0531,227.8
54.0579,191.9
54.064,175.7
54.0652,58.7
54.0693,46.8
54.0781,51.8
54.0863,78.2
54.101,103
54.1419,55.9
54.1824,94
54.1929,217.9
54.1955,50
54.2156,273.5
54.222,91.1
54.228,50.2
54.2348,56.1
54.2517,55.6
54.2605,395.3
54.2686,54.7
54.2776,110.6
54.2876,52.9
54.2901,59.9
54.2996,82.4
54.3003,60.1
54.3036,64.4
54.3046,286.4
54.3075,61.6
54.308,170.5
54.3183,481.5
54.3225,59.1
54.3285,55.6
54.3319,141.3
54.3598,86.7
54.3608,76
54.3667,56.3
54.3714,56.9
54.3788,51.1
54.3938,53
54.3967,106.2
54.3982,45.6
54.4018,62.6
54.4082,57.5
54.4318,65.2
54.4327,84.4
54.442,49
54.4475,115.5
54.4528,456.5
54.4545,246.3
54.4715,51.9
54.4758,56.6
54.485,484.8
54.4939,62.5
54.5241,59.6
54.527,50
54.5615,85.6
54.5661,158.5
54.5732,137.2
54.5778,38.2
54.5894,195.7
54.5914,89.1
54.6101,28.6
54.6265,66.3
54.6368,90.2
54.6442,64.4
54.6462,64
54.6544,250.1
54.6734,149
54.6802,60.1
54.6841,80.1
54.6894,67.1
54.6999,153.7
54.7028,53.3
54.7088,124
54.7097,85.2
54.7162,42.4
54.7163,42.1
54.7308,56.5
54.7376,293.1
54.7601,250.3
54.7669,87.6
54.7701,160.4
54.7749,124.7
54.7854,81
54.794,62.2
54.8004,103.1
54.8066,321.8
54.8171,78.9
54.8235,86.9
54.8287,276.1
54.8531,51.1
54.8547,49.7
54.871,242.2
54.8771,224.2
54.8777,75.6
54.8814,219
54.8979,87.4
54.9003,60.2
54.9018,486.4
54.9157,75.3
54.9407,74
54.9475,96.2
54.9569,160.2
54.9576,80.6
54.9595,309.9
54.9803,84
54.9894,158
54.9931,53.1
54.9994,62.9
55.0002,117.1
55.0052,72.2
55.0128,258.7
55.02,83.5
55.041,55
55.0844,104.5
55.0979,94.6
55.1017,58.3
55.1194,47.9
55.1217,132.5
55.1246,123.5
55.1347,105.7
55.1719,93.4
55.1905,135.8
55.1971,53.4
55.2098,115.5
55.2132,54.9
55.2229,75.7
55.2452,62.2
55.2574,61.5
55.2692,360.4
55.2803,120.3
55.2812,77.5
55.2833,377.5
55.2922,116.7
55.3002,59.9
55.3018,195.5
55.3153,88.3
55.3359,67.7
55.3558,221.3
55.3598,324
55.3611,227.6
55.3724,50.6
55.3911,63.7
55.3949,138
55.3978,283.8
55.4094,58.2
55.4173,51.8
55.4435,28
55.4485,55
55.4544,54.4
55.4586,191.1
55.4669,56
55.4844,100.5
55.4949,53.1
55.5228,49.6
55.5264,108.5
55.529,104.3
55.5464,437.1
55.5602,110.3
55.567,110
55.5714,178.5
55.6056,103.3
55.6066,102.8
55.6128,65.1
55.6161,65.3
55.625,66.5
55.652,100
55.6578,46.3
55.6592,248.5
55.6773,66.9
55.7079,47.2
55.7082,42.1
55.7149,104.1
55.7194,68.4
55.7287,138.1
55.7361,66.2
55.7446,52
55.7499,66.1
55.772,65.7
55.7752,66
55.7775,359.3
55.7802,47.8
55.7806,119.1
55.8193,117
55.8405,87.7
55.8424,60.4
55.8469,171.2
55.8682,47.1
55.8697,67.1
55.8739,70.8
55.882,95.5
55.8977,242.8
55.8984,48.1
55.9023,149
55.912,231.6
55.9378,48.8
55.939,60.4
55.9435,60
55.9444,100.5
55.9489,61.4
55.958,114.1
55.9599,91
55.9655,47.7
55.9698,113.3
55.9794,254.5
55.9932,95
56.0119,157.5
56.014,90.5
56.0402,416.3
56.0568,118
56.0875,76
56.0882,104.4
56.0888,49.1
56.1031,64.7
56.111,87.2
56.1153,56.4
56.1186,65.5
56.133,63.1
56.1396,61.5
56.1456,94.3
56.1551,56.8
56.1563,76.9
56.1652,93.4
56.1835,260.6
56.1873,46.5
56.2039,161.8
56.2172,242
56.2194,414.8
56.2256,151.8
56.2288,246.1
56.2423,55.7
56.2463,297.9
56.2638,78.2
56.2712,65.5
56.2786,162.8
56.325,64.5
56.3271,58.2
56.3332,128.8
56.3382,51.3
56.345,399.7
56.3578,91.6
56.3614,186.4
56.3622,358.7
56.3631,60.4
56.3684,163.2
56.3725,117.2
56.3734,70.2
56.3813,57.9
56.4293,101.4
56.4331,75.9
56.4533,70.3
56.4604,55.7
56.4655,48.4
56.4804,126.6
56.4835,65.7
56.4839,268.4
56.5053,262.8
56.5152,63.4
56.5275,456.8
56.529,442.6
56.546,57.6
56.5461,56.9
56.5624,340.5
56.5663,52.1
56.5708,55.7
56.5745,130
56.5998,392.1
56.6122,266.9
56.6364,104.9
56.6491,142.2
56.6502,67.3
56.6614,76
56.6633,101.7
56.6701,324.7
56.6728,248.5
56.6773,86
56.7206,159.5
56.7262,28.2
56.73,69.1
56.7363,131.3
56.7404,53.2
56.7477,219.7
56.7494,268.6
56.7547,56
56.7568,226.5
56.7667,92.8
56.7696,75.7
56.771,64.9
56.7732,158.7
56.7858,105.8
56.7946,66.9
56.7982,77.3
56.8225,308.6
56.8345,110
56.8378,57.3
56.8398,46.2
56.8534,110.5
56.8578,87.6
56.8589,62.4
56.8594,85.2
56.8811,63.5
56.8855,56.4
56.8926,206.8
56.9047,74.1
56.9174,86.5
56.9374,296.3
56.9384,436.6
56.9448,73.1
56.95,92.1
56.9579,73.5
56.9962,205
57.0176,95
57.0208,176.6
57.0287,63.7
57.0343,528.3
57.035,57753.4
57.0357,352.7
57.0362,63.9
57.042,456.5
57.0523,90.1
57.053,119.7
57.1089,64.2
57.111,57.9
57.1184,134.1
57.1273,57.9
57.1365,110.4
57.1694,382.8
57.187,84.1
57.2204,104.6
57.2261,78.5
57.229,282
57.2532,69.2
57.255,148.3
57.2607,395.9
57.2781,143.7
57.2932,71.7
57.2966,45.6
57.2992,64.7
57.3186,327.3
57.3255,60
57.3492,432.8
57.3543,63.1
57.3564,57.4
57.3573,30.8
57.3584,78.2
57.3688,69
57.3743,61.7
57.3752,57
57.3783,57.9
57.3823,59.3
57.4019,447.3
57.4164,117.9
57.4178,371.1
57.4212,52.8
57.4225,103.8
57.4231,60.3
57.4385,56.6
57.4412,119.4
57.4449,58.3
57.4597,88.5
57.4615,88.2
57.4699,58
57.4793,67.9
57.483,435.7
57.4842,62.5
57.506,126.9
57.5204,58.4
57.5216,96.4
57.5376,78.1
57.5486,284.9
57.5709,340.5
57.5863,91.6
57.6019,139.6
57.6103,53.9
57.6254,66.1
57.6275,49.2
57.6363,153.1
57.6402,131
57.659,161.8
57.6595,53.7
57.6749,492
57.6936,207.9
57.6951,126.3
57.7019,73.8
57.7025,95.5
57.7296,31.4
57.7438,50.4
57.7513,235.6
57.7644,97.3
57.7809,78.9
57.8112,51.7
57.8251,265.5
57.8502,319.8
57.8543,79.6
57.8567,106.6
57.8739,55.7
57.8783,60.1
57.8818,59.5
57.8852,53.1
57.9112,65.3
57.9182,82.5
57.9265,77.2
57.9295,89
57.9393,126.6
57.9486,142.1
57.9606,66.1
57.9932,73.2
58.0135,60.5
58.0173,95.6
58.0383,304.6
58.0434,72.9
58.0684,61.8
58.0809,53.8
58.0816,507.9
58.0866,122.4
58.0913,97.5
58.0979,472.3
58.0995,80.8
58.1158,54.3
58.118,54.5
58.1294,146
58.1585,112.2
58.1647,63.5
58.1663,166.7
58.1691,74.6
58.1882,99.8
58.1904,206.5
58.2004,50.4
58.2048,64.3
58.2071,97.4
58.2086,105.1
58.2091,51.6
58.2098,94.6
58.2347,85.8
58.2671,51.8
