#"-ESI Scan (rt: 0.056-1.019 min, 80 scans) Frag=175.0V wash18.d "
#Point,X(Thompsons),Y(Counts)
0,50.0012,14.3900117874146
1,50.0052,18.1889686584473
2,50.0082,14.0707426071167
3,50.0136,24.751485824585
4,50.0161,16.6421394348145
5,50.0203,35.5793724060059
6,50.0253,15.740330696106
7,50.0280,37.8473205566406
8,50.0325,34.8299293518066
9,50.0372,11.9367218017578
10,50.0412,15.5642833709717
11,50.0479,23.5628452301025
12,50.0520,4.85325813293457
13,50.0568,24.6373310089111
14,50.0613,15.2011518478394
15,50.0680,16.1163482666016
16,50.0710,26.7925834655762
17,50.0785,18.9207878112793
18,50.0831,24.076452255249
19,50.0877,15.9304304122925
20,50.0924,11.9391460418701
21,50.0967,5.20003080368042
22,50.1019,13.234601020813
23,50.1073,10.6721897125244
24,50.1171,9.87421417236328
25,50.1226,20.4810600280762
26,50.1270,22.8634243011475
27,50.1352,14.9905271530151
28,50.1400,14.0024967193604
29,50.1428,4.58443927764893
30,50.1456,6.12314939498901
31,50.1514,25.1757869720459
32,50.1578,25.2164993286133
33,50.1634,39.5160598754883
34,50.1668,4.34050321578979
35,50.1700,28.7780303955078
36,50.1745,6.85703372955322
37,50.1788,15.9974918365479
38,50.1835,4.56792545318604
39,50.1867,26.5521278381348
40,50.1918,10.3517179489136
41,50.1948,4.43784618377686
42,50.1985,28.0843505859375
43,50.2053,21.8195323944092
44,50.2101,26.9685821533203
45,50.2129,24.1404514312744
46,50.2171,8.71285724639893
47,50.2199,20.7017803192139
48,50.2236,25.7272071838379
49,50.2282,26.4255485534668
50,50.2322,20.4638957977295
51,50.2345,23.5300731658936
52,50.2400,21.005880355835
53,50.2430,4.46797800064087
54,50.2471,9.31538581848145
55,50.2512,10.4758567810059
56,50.2546,11.1703567504883
57,50.2585,35.5959777832031
58,50.2621,15.9196901321411
59,50.2654,19.001916885376
60,50.2682,6.55425357818604
61,50.2718,15.0242185592651
62,50.2761,15.6051177978516
63,50.2834,35.1929779052734
64,50.2879,13.8622303009033
65,50.2910,15.4794492721558
66,50.2971,19.1278800964355
67,50.3019,22.5974540710449
68,50.3060,41.9534339904785
69,50.3123,9.20947074890137
70,50.3207,17.6052379608154
71,50.3274,29.5252475738525
72,50.3318,4.55964279174805
73,50.3349,5.21250009536743
74,50.3404,31.7108459472656
75,50.3488,6.1152777671814
76,50.3542,10.7639865875244
77,50.3580,33.5418930053711
78,50.3664,14.7340908050537
79,50.3704,9.77520942687988
80,50.3765,9.98599910736084
81,50.3828,20.0393333435059
82,50.3906,20.5038814544678
83,50.3977,9.16540050506592
84,50.4014,4.47634315490723
85,50.4068,5.0000696182251
86,50.4092,10.9380292892456
87,50.4126,11.1945962905884
88,50.4150,11.8836822509766
89,50.4179,4.52733564376831
90,50.4207,4.27055931091309
91,50.4241,9.61601448059082
92,50.4290,4.49406242370605
93,50.4347,22.0515441894531
94,50.4383,4.7901406288147
95,50.4419,19.2944240570068
96,50.4468,19.1308174133301
97,50.4588,16.3197898864746
98,50.4621,9.38882541656494
99,50.4676,15.4310932159424
100,50.4709,14.2150754928589
101,50.4751,8.59289836883545
102,50.4792,4.44960021972656
103,50.4840,16.1895713806152
104,50.4881,11.9203224182129
105,50.4943,20.7702140808105
106,50.4999,26.5677528381348
107,50.5038,4.51369285583496
108,50.5092,6.14609384536743
109,50.5119,13.7080945968628
110,50.5166,18.9277477264404
111,50.5192,4.23871994018555
112,50.5245,10.5732946395874
113,50.5276,23.6617374420166
114,50.5312,9.74563789367676
115,50.5361,37.4335632324219
116,50.5424,4.74036312103271
117,50.5454,28.8932495117188
118,50.5510,21.5878849029541
119,50.5608,37.8920936584473
120,50.5646,6.12612390518188
121,50.5688,15.8821315765381
122,50.5729,4.31027936935425
123,50.5785,14.6276988983154
124,50.5846,14.5335216522217
125,50.5879,8.5496768951416
126,50.5918,20.8996887207031
127,50.5960,14.6193008422852
128,50.6010,22.5025424957275
129,50.6078,31.2637424468994
130,50.6126,9.86267375946045
131,50.6175,27.1451759338379
132,50.6233,14.7604627609253
133,50.6261,14.7848281860352
134,50.6294,12.2516994476318
135,50.6329,8.16821098327637
136,50.6352,3.62653684616089
137,50.6396,12.1653394699097
138,50.6464,9.86258220672607
139,50.6512,4.97006273269653
140,50.6555,5.07580518722534
141,50.6587,11.4581451416016
142,50.6632,16.2163276672363
143,50.6705,16.1760730743408
144,50.6752,4.60001564025879
145,50.6778,14.3994960784912
146,50.6843,14.1621427536011
147,50.6925,4.65154361724854
148,50.6953,23.5497283935547
149,50.7051,8.79813957214355
150,50.7096,10.5692176818848
151,50.7128,6.98240280151367
152,50.7171,38.3595581054688
153,50.7222,20.9293346405029
154,50.7277,13.4367294311523
155,50.7317,14.6769466400146
156,50.7361,9.26998329162598
157,50.7406,28.8073329925537
158,50.7478,27.4657707214355
159,50.7515,14.9256620407104
160,50.7546,30.0596103668213
161,50.7580,20.3674659729004
162,50.7628,17.2946491241455
163,50.7678,31.7259674072266
164,50.7724,27.7196159362793
165,50.7782,19.1172523498535
166,50.7834,23.7179050445557
167,50.7881,21.8084449768066
168,50.7911,30.0370388031006
169,50.7969,24.8450984954834
170,50.8002,9.49971008300781
171,50.8040,14.0103254318237
172,50.8094,14.6951351165771
173,50.8142,14.5959568023682
174,50.8207,40.3273048400879
175,50.8290,9.42901611328125
176,50.8323,8.62151050567627
177,50.8371,9.94937133789063
178,50.8399,31.505615234375
179,50.8462,36.9458541870117
180,50.8497,9.1978816986084
181,50.8531,4.17735481262207
182,50.8577,16.814998626709
183,50.8622,18.3271789550781
184,50.8667,49.7799758911133
185,50.8727,9.56523609161377
186,50.8761,6.45001602172852
187,50.8794,21.2048759460449
188,50.8830,18.6435012817383
189,50.8883,25.5380458831787
190,50.8916,11.208399772644
191,50.8951,16.5665626525879
192,50.8998,16.0530204772949
193,50.9065,19.487377166748
194,50.9093,6.20079374313354
195,50.9125,22.0537071228027
196,50.9155,9.52240562438965
197,50.9204,34.5418319702148
198,50.9245,19.5426425933838
199,50.9314,14.633318901062
200,50.9346,5.49735546112061
201,50.9387,33.7237586975098
202,50.9449,9.55158042907715
203,50.9493,20.5231838226318
204,50.9544,19.0659084320068
205,50.9609,10.1617031097412
206,50.9638,18.3626708984375
207,50.9675,11.6910457611084
208,50.9718,9.05051898956299
209,50.9784,18.9713344573975
210,50.9825,9.31962013244629
211,50.9884,14.8335361480713
212,50.9973,25.7437229156494
213,51.0020,16.7026386260986
214,51.0054,4.84701681137085
215,51.0095,21.6931381225586
216,51.0140,14.1357746124268
217,51.0215,24.8840274810791
218,51.0241,48.7849922180176
219,51.0272,6.91164016723633
220,51.0337,22.2848434448242
221,51.0391,19.1871376037598
222,51.0454,18.983081817627
223,51.0494,10.0453433990479
224,51.0525,5.33162641525269
225,51.0555,20.3679866790771
226,51.0589,19.4372596740723
227,51.0634,21.2453384399414
228,51.0688,14.7773714065552
229,51.0710,15.9587306976318
230,51.0761,22.2512321472168
231,51.0832,23.7678871154785
232,51.0905,10.2992649078369
233,51.0967,30.4726257324219
234,51.1010,11.9346332550049
235,51.1037,4.75101375579834
236,51.1084,23.7779426574707
237,51.1134,18.277587890625
238,51.1179,6.36708688735962
239,51.1215,27.4769840240479
240,51.1288,25.8858680725098
241,51.1330,4.93916463851929
242,51.1367,4.50581741333008
243,51.1458,4.17266511917114
244,51.1484,19.0874347686768
245,51.1529,25.3903865814209
246,51.1580,18.6233692169189
247,51.1609,13.5550107955933
248,51.1646,5.13754463195801
249,51.1704,3.01271629333496
250,51.1748,12.8955821990967
251,51.1803,12.1622619628906
252,51.1880,27.7754573822021
253,51.1915,9.10548210144043
254,51.1980,14.6510496139526
255,51.2022,21.8139972686768
256,51.2075,9.9177885055542
257,51.2118,35.4117736816406
258,51.2170,16.2525730133057
259,51.2230,9.48194885253906
260,51.2257,15.5060901641846
261,51.2293,26.7313270568848
262,51.2339,5.03090667724609
263,51.2386,16.0483131408691
264,51.2422,25.0734119415283
265,51.2454,10.2175769805908
266,51.2493,8.73132133483887
267,51.2562,16.3548564910889
268,51.2604,9.35608959197998
269,51.2651,19.6315155029297
270,51.2680,15.2095212936401
271,51.2722,20.0190334320068
272,51.2755,17.2353744506836
273,51.2802,14.3973999023438
274,51.2836,16.565824508667
275,51.2867,18.5027027130127
276,51.2930,34.029655456543
277,51.2966,25.9273719787598
278,51.3022,19.6907272338867
279,51.3075,20.779224395752
280,51.3167,9.79793357849121
281,51.3203,20.915943145752
282,51.3245,15.5176753997803
283,51.3307,4.63862466812134
284,51.3349,16.4962768554688
285,51.3387,18.2751426696777
286,51.3416,9.79644203186035
287,51.3464,19.6653995513916
288,51.3513,20.5896415710449
289,51.3582,9.6344051361084
290,51.3624,8.96106338500977
291,51.3649,14.4393253326416
292,51.3708,14.4803266525269
293,51.3742,26.6619262695313
294,51.3770,4.97616100311279
295,51.3808,8.81692981719971
296,51.3845,20.9922828674316
297,51.3895,3.87800097465515
298,51.3927,9.4406566619873
299,51.3956,5.84665203094482
300,51.3987,24.5526885986328
301,51.4083,25.4194145202637
302,51.4142,29.9244899749756
303,51.4172,4.97510433197021
304,51.4229,14.3524036407471
305,51.4247,15.1756896972656
306,51.4291,9.91494560241699
307,51.4325,24.1118659973145
308,51.4360,28.678638458252
309,51.4403,28.6872863769531
310,51.4435,36.1208419799805
311,51.4479,12.6249828338623
312,51.4526,22.0682258605957
