SPECTRUM - MS,
517.RAW,
FTMS - p ESI Full ms [50.00-1000.00],
Scan #: 1-45,
RT: 0.01-2.00,
AV: 45,
m/z,Intensity

53.3392,123.8
53.3404,213.8
53.3412,59.7
53.3432,49.6
53.3508,199.7
53.3535,135.7
53.3731,70.4
53.3755,115.6
53.3782,75.7
53.3842,81.5
53.3915,167.7
53.3981,48.7
53.4109,65.9
53.4205,108.2
53.4226,133.8
53.4246,51.4
53.4341,81.6
53.4471,412.3
53.4567,334.7
53.4741,107.8
53.4807,102.7
53.5083,56.9
53.5414,61.6
53.557,56.7
53.5673,56.6
53.5733,85.1
53.5875,148.3
53.5965,486.2
53.5973,112.2
53.6138,47.9
53.6406,70.1
53.6421,143.8
53.6503,77.7
53.6617,80.7
53.6899,125.7
53.6907,76.3
53.6953,67.6
53.7016,338.8
53.7534,154.5
53.755,49.7
53.7625,103.8
53.7751,344.2
53.7786,78.8
53.7831,23.4
53.7853,229.8
53.7922,340.5
53.7939,81.6
53.8092,231.7
53.812,80.7
53.829,52.5
53.8344,166
53.8479,60
53.8539,70.6
53.8691,73.3
53.8776,196
53.8909,55.1
53.9065,71.8
53.9113,98.2
53.9173,81.7
53.9206,82.7
53.9292,68.1
53.9297,57.7
53.9306,107.8
53.9348,109.2
53.9394,119.2
53.94,71.7
53.9413,244.4
53.9472,50
53.9474,63.2
53.9493,451.4
53.9514,273.7
53.9629,123.1
53.9634,71.8
53.9639,50.3
53.9841,120.1
53.9911,83.2
54.006,120.8
54.0197,69.1
54.0475,115.9
54.0567,128.5
54.0883,61.6
54.1001,337.9
54.1076,54.8
54.1115,92.7
54.1128,153.3
54.1138,57.4
54.1149,354.9
54.1234,229.6
54.1253,84.1
54.1389,23.2
54.1397,78.6
54.1573,155.1
54.1772,75.8
54.1813,69.6
54.1945,52.8
54.2028,73.6
54.205,59.1
54.2169,50.7
54.2459,100
54.2477,137.6
54.2492,184.1
54.2536,75.2
54.2557,52
54.2602,58.3
54.2715,162
54.2829,67.6
54.2837,83.2
54.2868,56.5
54.3184,88.5
54.3327,57.9
54.3364,54.7
54.3437,313
54.3637,60.9
54.3691,58.3
54.3839,341.9
54.3964,131
54.3989,55.1
54.4229,66.9
54.4306,99.8
54.4417,72.6
54.4443,139.7
54.4518,108.4
54.4525,68.1
54.4723,463.4
54.4757,52.7
54.4808,69.9
