SPECTRUM - MS,
703.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-39,
RT: 0.01-1.98,
AV: 39,
m/z,Intensity

53.5911,57.9
53.5937,152.1
53.5955,28.5
53.5966,270.6
53.601,23
53.661,23.6
53.6635,750.3
53.6719,30
53.6791,129.5
53.6842,105.2
53.7054,69
53.71,60.5
53.7118,33.3
53.728,22.7
53.7494,124.3
53.7509,111.1
53.76,127.2
53.762,16
53.7815,27.3
53.7839,72
53.7877,91.6
53.8107,340.9
53.8119,118.9
53.8135,25.8
53.8181,31
53.828,78.9
53.8311,23.4
53.8341,58.4
53.8438,27.6
53.8623,38.1
53.8687,79.5
53.8772,73.4
53.8913,27.6
53.9005,100
53.9071,42.4
53.9123,67
53.9154,64.1
53.9387,263.9
53.9414,49.4
53.9495,267.7
53.9578,83.3
53.9619,56.2
53.986,60.7
54.041,342.2
54.0414,26.1
54.0458,360.9
54.0488,25.2
54.0513,82.1
54.0531,28.4
54.0553,32.9
54.0724,51.4
54.0789,604.8
54.0852,125.3
54.0899,96.9
54.0985,53.4
54.0996,50
54.1026,14.6
54.134,353.3
54.135,89.1
54.1472,23.9
54.1509,148.1
54.1961,25.6
54.2042,42.7
54.2115,100.7
54.2174,23.1
54.2176,20.5
54.2193,144.5
54.2234,149.3
54.2412,25.2
54.2621,17.5
54.2664,38.6
54.2759,40.3
54.281,122.8
54.2938,27.4
54.3019,596.8
54.3109,437.2
54.3187,30.9
54.3398,68.2
54.3425,26.8
54.3451,20.8
54.3502,50.4
54.3561,65.2
54.3581,37.7
54.3714,177.8
54.3795,26.6
54.3881,65.3
54.4057,386.5
54.4313,30.5
54.4323,42.2
54.4528,233.6
54.4596,23.5
54.469,240
54.4792,151.9
54.4992,79.1
54.5063,56
54.5198,34
54.5451,61.7
54.5707,112.6
54.5714,29
54.573,209.9
54.5836,54.5
54.5856,195.2
54.6121,65.7
54.622,207.9
54.6529,101
54.662,120
54.665,60.8
54.6699,17.8
54.6708,706.9
54.6735,78.4
54.7185,26.2
54.7275,28.7
54.7521,31.1
54.7528,63.7
54.7599,285.4
54.771,39.5
54.7766,144.4
54.7807,23.7
54.7854,24.3
54.787,28
54.7889,26.6
54.7942,34.8
54.8009,28.3
54.8058,32.9
54.8093,121.4
54.8243,59.7
54.858,82.7
54.8771,700.2
54.8979,84.5
54.9385,59.4
54.9405,18.3
54.953,21.9
54.9574,23.6
54.97,195
54.9762,47.6
54.9805,155
54.9945,39.7
54.9992,79.1
55.012,356.9
55.0124,37.4
55.0628,69.5
55.0724,63.2
55.0935,26
55.1004,25
55.1059,24.8
55.1089,680.6
55.1369,68.1
55.1404,28
55.1562,38.5
55.1623,41.4
55.1671,142.2
55.1808,54.8
55.1972,32
55.22,46.1
55.227,86.2
55.229,22.8
55.2759,27.4
55.2863,23.1
55.3108,199.5
55.3209,174.8
55.3214,609.6
55.3231,32.4
55.3248,92.7
55.3264,24.8
55.3338,362.6
55.3352,441.8
55.3549,58.1
55.3727,203.7
55.3741,217.2
55.391,29.6
55.4107,31.1
