SPECTRUM - MS,
lav_278.RAW,
FTMS + p ESI Full ms [50.00-1000.00],
Scan #: 1-36,
RT: 0.01-1.96,
AV: 36,
m/z,Intensity

53.9505,18
53.9627,17.6
53.9901,20.5
53.9931,18
53.9954,23
54.0117,20.4
54.0134,20.2
54.0141,17
54.0312,19.6
54.035,18.9
54.0549,18.7
54.0635,23.9
54.0753,22
54.0835,20.5
54.1249,17.8
54.1304,19.9
54.1386,21.5
54.1768,17.7
54.1978,19.7
54.2021,26
54.2252,18.3
54.2636,19.9
54.3072,19.6
54.3236,18.3
54.3251,29.3
54.328,17.2
54.3288,19.3
54.3477,19.1
54.3547,36
54.3571,25.5
54.3587,24
54.3675,19.8
54.3678,18.8
54.4012,24.6
54.4041,21.7
54.4063,28.3
54.4081,19.6
54.4421,19.3
54.443,19.1
54.4485,27.2
54.4538,19.5
54.4677,19.7
54.4703,31
54.4933,26.3
54.4969,25.1
54.4993,21.5
54.5193,17.3
54.5202,19
54.5357,21.5
54.5468,20.2
54.5532,24
54.5549,17.7
54.5568,19.9
54.5924,18.7
54.5937,18.8
54.612,21.1
54.637,20.7
54.6516,21.9
54.6544,23.1
54.6632,20.1
54.6814,19.9
54.6888,18.9
54.7104,22.7
54.7119,58.3
54.7147,23.5
54.7201,19
54.7224,35.5
54.7415,18.5
54.7426,25.4
54.7797,18.5
54.7841,18.7
54.789,22.4
54.8097,25.7
54.8106,27.4
54.8163,20.7
54.8206,21.2
54.8229,19.8
54.8437,21.5
54.8439,23
54.8441,19
54.8451,21.1
54.8477,27.5
54.8759,19.3
54.8831,22
54.9001,19.8
54.9022,20.9
54.9267,19.3
54.9479,27
54.9564,17.5
54.957,17.7
54.9718,25.5
54.9886,19.2
54.9953,18.2
55.0098,21.7
55.0166,19.6
55.0196,21.8
55.0224,18.2
55.0305,17.6
55.0667,27.4
55.0793,19.9
55.1068,16.5
55.1204,18.5
55.1259,24.8
55.1289,19.1
55.1637,19
55.1802,30.2
55.1812,19.3
55.2378,20.7
55.2424,26.3
55.2504,23.7
55.2524,18.1
55.2565,19.1
55.2648,17.1
55.2657,23.5
55.2962,19.9
55.3449,25.3
55.3624,18.3
55.3634,17.9
55.3701,17.9
55.3723,21.9
55.3754,21.1
55.3878,22.2
55.417,22
55.499,23.3
55.5044,21.9
55.5222,18.2
55.5303,19.8
55.5533,21.2
55.5597,17.4
55.591,28.3
55.615,17.4
55.6365,24.6
55.6508,20.8
55.6617,18.6
55.6682,22.1
55.6812,19.4
55.684,24.5
55.6919,29.2
55.702,17
55.7114,18.4
55.7133,18
55.7148,18.3
55.7378,19.9
55.7422,26
55.7457,18.2
55.7532,22.2
55.758,20.8
55.7632,20.1
55.7742,18.2
55.8178,25.2
55.8295,20.3
55.8551,26.2
55.8673,18.8
55.8742,20
55.8826,24.9
55.89,27.1
55.8961,20.4
55.9324,19.1
55.9331,23
55.9374,24.1
55.9473,20.1
55.9683,23
55.9716,19.8
55.9836,26.1
55.9979,23.3
56.0042,28.6
56.0253,22.4
56.0426,25.6
56.0587,18.6
56.0721,17.7
56.081,20.7
56.1037,38.9
56.1135,24.6
56.1274,18.7
56.135,23.3
56.1371,24.3
56.1492,19.9
56.1918,17.8
56.1947,28
56.2179,20.5
56.2247,17.4
56.2353,20.6
56.239,17
56.2481,20.5
56.2616,17.2
56.2659,20.4
56.2729,20.3
56.2882,35.6
56.3321,17.1
56.3335,19.3
56.3557,21.1
56.3602,17.2
56.3633,19.3
56.3667,23.6
56.37,22.6
56.407,19.5
56.4279,24.2
56.44,21.5
56.4826,18.3
56.491,19.3
56.4944,22.9
56.5095,24.3
56.5273,20.3
56.5361,22.5
56.5632,20.3
56.5645,22
56.6072,19
56.6079,22.6
56.6102,22.9
56.6367,18.1
56.6387,23
56.6397,18
56.6437,17.4
56.6664,19.8
56.6826,18.5
56.6938,25.4
56.7139,17.7
56.7203,21.1
56.7256,25.5
56.7285,23.2
56.7333,25.3
56.7401,20.1
56.7408,26.9
56.7428,21
56.7489,32.6
56.7524,18.9
56.7738,24.1
56.7789,17.6
56.7847,28.8
56.7949,24.9
56.8001,18.3
56.8096,24.5
56.8165,17.5
56.8252,19.8
56.8281,21.7
56.8366,20.7
56.8778,24.7
56.8945,18.3
56.9024,20.6
56.9198,23.5
57.02,17.7
57.0522,19.3
57.0557,18
57.0631,19.5
57.0736,20.8
57.0825,19.2
57.0934,23.1
57.0946,18.1
57.0966,32
57.0983,17.9
57.0997,25.7
57.1044,23.1
57.1154,20.8
57.118,19.6
57.1287,16
57.1289,17
57.1414,36.7
57.1556,20.5
57.1573,22.2
57.1721,24.4
57.1776,29.6
57.1805,26.4
57.1953,25
57.2002,19.7
57.2066,18.5
57.2154,27.1
57.2169,28.7
57.2611,20.4
57.2783,31.6
57.2821,26.7
57.312,38.5
57.3153,23.3
57.3447,17.7
57.3573,20
57.3617,18.4
57.3687,18
57.3697,23.5
57.3843,17.7
57.4073,21.4
57.4088,29.4
57.4109,18.3
57.4294,19.3
57.4711,17.9
57.4871,23.7
57.5,22.3
57.5047,38.5
57.5155,19.6
57.5376,18.4
57.5449,20.1
57.5552,21.3
57.5609,17.2
57.5642,25.1
57.5685,17.2
57.5726,18.3
57.5783,24.4
57.6453,17.5
57.6564,22.6
57.6598,20.2
57.6667,27.7
57.6717,22
57.6808,19.6
57.6925,18.4
57.6941,20.1
57.711,17.7
57.7268,17.3
57.7361,17.9
57.7368,19.7
57.7431,20.8
57.7569,20.4
57.7693,25.9
57.7786,21.8
57.7976,18.4
57.8117,19.8
57.8166,18.9
57.8259,27.5
57.8356,27.6
57.859,19.2
57.8642,23.1
57.8674,19
57.8749,21.4
57.8764,24.3
57.8917,18.1
57.9062,22.1
57.9259,18
57.9321,30.5
57.9478,19.5
57.9605,16.8
57.9676,27.8
57.978,18.1
58.0016,19.6
58.008,19.4
58.0232,17.5
58.0325,18.3
58.0398,19.3
58.0526,19.5
58.0721,21.1
58.0735,18.2
58.0783,24.7
58.0878,23.5
58.0886,25.7
58.1202,19.2
58.13,23.2
58.1349,17.7
58.1402,20
58.1519,22.6
58.1604,19
58.1769,19.8
58.1829,19.9
58.1923,19.7
58.2342,18.6
58.2391,21.7
58.2407,20.2
58.2549,19.4
58.2745,33.3
58.2904,18.7
58.2937,17.4
58.3086,29.1
58.333,18.1
58.3436,16.6
58.3484,18.9
58.3508,19.2
58.3522,18.8
58.3731,19.2
58.3817,23.9
58.3922,20.7
58.4105,18.9
58.4173,18.2
58.4177,20.7
58.4209,20.9
58.4233,20.2
58.4278,30.4
58.4315,22
58.4453,20.4
58.4589,18.4
58.5155,21.4
58.5338,21.6
58.5383,20.4
58.5439,17.1
58.5911,17.8
58.5992,24.9
58.6155,21.5
58.6364,23.4
58.6484,27.8
58.6573,24.6
58.6856,16.9
58.6868,22.3
58.6972,24.8
58.7003,18.7
58.707,20.7
58.7077,18.7
58.7211,17.7
58.7319,22.4
58.7341,18.5
58.7454,20
58.7537,23.4
58.8181,19.9
58.8595,19.3
58.8748,18.9
58.901,22.8
58.9148,22.2
58.9307,21.9
58.9584,28.3
58.9628,26.2
58.9748,23.4
58.9776,35.5
58.9847,22.6
58.987,29.8
58.9906,20.9
59.0234,19.7
59.0255,24.5
59.0593,23.8
59.0775,25.2
59.0919,22.2
59.0973,18.9
59.1154,19.7
59.1241,23.7
59.15,17.8
59.1533,22.1
59.1667,19.3
59.1716,21.2
59.1778,18.1
59.1787,19.7
59.1857,18.9
59.2214,16.8
59.2246,23
59.2285,19.3
59.2498,20.5
59.2506,20.3
59.2634,29.5
59.2659,28.2
59.3308,27.5
59.3347,20.5
59.3362,19.6
59.3543,27.6
59.3819,24
59.4169,19.5
59.4383,22.8
59.4617,16.9
59.4799,23
59.5126,21
59.5262,24.1
59.54,25.1
59.5402,26
59.5404,21.9
59.5656,28.7
59.5713,20.3
59.5722,21.7
59.5783,18.8
59.5813,21.4
59.5859,25.9
59.5929,26.6
59.5949,19
59.6223,48.4
59.6454,18.8
59.6935,23.7
59.7419,45.4
59.7437,39
59.7518,20.5
59.7636,18.9
59.7647,17.1
59.7658,27.8
59.7695,17.7
59.7742,24.3
59.8036,20.7
59.8066,18.3
59.8344,24.3
59.8398,24.7
59.8451,17.8
59.8522,27.4
59.8718,19.3
59.8791,19.6
59.8852,21.6
59.8873,19.3
59.8887,24.6
59.8892,19.5
59.8897,18.6
59.9056,20.4
59.9214,29.9
59.9218,17.3
59.9244,30.6
59.9318,29.7
59.9412,18.8
59.9502,28.5
59.9569,22.3
59.9695,26
59.9751,19.9
59.9856,19
59.9868,22.7
59.9873,25.4
59.9952,21.5
60.0086,24.2
60.0316,16.9
60.0338,24.6
60.0517,19.6
60.053,44.5
60.0542,20.9
60.0584,24
60.0607,41.1
60.0784,21.6
60.0908,17.1
60.1212,18.3
60.1238,18.4
60.1584,19.2
60.2131,19.2
60.2169,24.3
60.2206,21
60.2265,16.7
60.247,19.8
60.2651,24.6
60.2686,18.6
60.2939,20.5
60.2997,32.1
60.3004,18.4
60.3022,25.9
60.3111,23.1
60.3134,24.2
60.3172,34.7
60.3334,26.8
60.3411,27
60.3496,16.8
60.3508,23.4
60.3752,23.9
60.3776,20.2
60.3941,21.9
60.3954,21.7
60.3964,22.8
60.3966,22.3
60.4014,20.1
60.4134,27.4
60.4209,22.6
60.4469,26.8
60.4499,21.3
60.4538,39.5
60.4617,27.6
60.4769,21.7
60.4831,22.8
60.5104,24.8
60.5117,30.1
60.5194,19
60.5269,18.9
60.5487,20.4
60.5539,19.6
60.5554,21.6
60.5613,23.3
60.5818,19.5
60.6026,21.4
60.6047,19.1
60.6316,23.5
60.6338,23.5
60.683,29.9
60.6903,25.4
60.6973,32.1
60.7076,24.7
60.7239,21.8
60.7362,18.6
60.7453,22.4
60.7631,25.8
60.7647,24
60.7694,24.3
60.771,23.3
60.7761,19.8
60.7857,23.8
60.7872,41.5
60.8068,17
60.8104,21.7
60.8206,18.7
60.8372,20.9
60.8525,43.2
60.8774,18.5
60.8807,18.4
60.8986,20.3
60.9229,23.4
60.9594,21.9
60.9823,33.4
60.9861,19.7
61.0042,22.2
61.0102,21
61.0469,18.6
61.0569,18.3
61.0585,19.6
61.0681,16.4
61.0807,19
61.0876,20.5
61.1427,31.4
61.1494,20
61.1621,24.8
61.1725,18.3
61.2063,16.8
61.2235,16.5
61.2294,23
61.2484,17.9
61.2591,24.1
61.28,21.1
61.2868,29.6
61.3469,23
61.3575,20.7
61.3599,30.1
61.3622,19.7
61.3896,19.8
61.3917,23.5
61.4105,19.9
61.4141,20.9
61.4326,20.9
61.4332,20.7
61.4391,21.1
61.4741,19
61.4993,19.7
61.5049,24.4
61.5511,18.6
61.5582,20.5
61.5607,25
61.5613,18.5
61.5652,24.7
61.5678,20
61.5725,19.8
61.5826,20.7
61.6011,20.7
61.6029,30
61.615,19.2
61.6215,22.8
61.6309,18.9
61.6705,22.6
61.678,35.2
61.7297,19.6
61.7381,23
61.7629,18.5
61.7647,20.4
61.7909,19.6
61.7977,22.6
61.8146,21.2
61.8265,30.4
61.8325,24.3
61.8465,30.9
61.8476,18
61.8676,24
61.8971,19.6
61.9186,27
61.9338,18
61.9437,22
61.9525,21.8
61.9822,38.1
62.0245,18.2
62.0366,27.4
62.042,20
62.0568,25.7
62.0618,21.3
62.0755,19.3
62.0846,18.1
62.1001,22.9
62.1053,24
62.1106,20.3
62.1145,24
62.116,17.9
62.1214,28.3
62.1332,21
62.1345,18
62.1422,19.5
62.1795,19.4
62.1827,21
62.1874,25.1
62.1895,24.5
62.1914,19.1
62.1919,22
62.1928,17.7
62.1967,19.7
62.2005,28.2
62.2017,19.1
62.2477,19.9
62.2641,21.1
62.2681,25.2
62.2834,17.1
62.2847,24.2
62.2904,21.8
62.3177,20.3
62.3194,18.8
62.3377,20.5
62.3463,19
62.3655,20.6
62.3668,26.2
62.4024,20.7
62.4184,19.5
62.4215,27.2
62.4327,22.4
62.4414,19.7
62.4541,17.7
62.4557,18.1
62.4602,19
62.5087,21.7
62.5221,20.2
62.5359,27.1
62.548,18.4
62.5534,20.8
62.5602,32.4
62.5751,21.3
62.5926,18.4
62.5932,22.2
62.6376,18.2
62.661,21.6
62.6674,22.4
62.6728,22.1
62.6777,20.4
62.6928,18.6
62.7033,22.8
62.7036,22.6
62.7097,19.7
62.7143,19.8
62.7175,20.3
62.7186,25.3
62.7346,29.6
62.736,21.3
62.7933,25.3
62.7974,23.2
62.799,29.3
62.8212,19.7
62.8337,20.7
62.8722,19.9
62.8821,18.7
62.9067,22.5
62.9106,34
62.93,20.5
62.9306,22.3
62.9428,19.8
62.9453,28.8
62.9481,20.5
63.0067,20.6
63.0166,19.7
63.0196,26
63.0198,18.4
63.0219,39.8
63.0234,27.7
63.0314,22.8
63.0792,22.8
63.0814,19.6
63.0981,22.9
63.1163,38.1
63.1421,20.1
63.1648,20.1
63.172,25.9
63.1762,23
63.178,20.7
63.1928,20.1
63.2159,23.4
63.2216,24.3
63.2333,21.3
63.2341,19.8
63.2681,30.9
63.2691,18.1
63.2816,21.6
63.3269,18
63.3317,21.3
63.346,19.2
63.3584,22.8
63.3633,20.7
63.367,21.1
63.3691,28.1
63.372,30.7
63.3843,23.6
63.387,19.9
63.3882,18.5
63.424,18.2
63.4428,19.6
63.4575,30.8
63.4643,21.3
63.4684,17.5
63.4697,21.7
63.4943,18.8
63.5253,20.7
63.5306,23.9
63.5624,19.2
63.5823,21.2
63.5905,24.7
63.6124,18.8
63.6229,17.8
